City,Latitude,Longitude,Temperature,% Humidity,% Cloudiness,Wind Speed
Manokwari,-0.8667,134.0833,299.35,75,100,1.07
Saint Paul Harbor,57.79,-152.4072,285.88,67,20,7.72
Bhag,29.0415,67.8239,302.17,20,0,1.91
Touros,-5.1989,-35.4608,299.55,76,8,6.95
Hermanus,-34.4187,19.2345,295.26,56,100,2.81
Narsaq,60.9167,-46.05,277.27,99,100,3.35
Bluff,-46.6,168.3333,282.47,67,73,8.25
Albany,42.6001,-73.9662,289.36,64,92,2.73
Morant Bay,17.8815,-76.4093,302.99,70,94,4.43
Port Alfred,-33.5906,26.891,293.25,84,99,1.79
Pochutla,15.7432,-96.4661,303.05,82,100,1.11
Dikson,73.5069,80.5464,274.44,99,100,3.03
Mezen',65.8522,44.24,280.04,84,100,4.66
Port Lincoln,-34.7333,135.8667,291.84,34,100,8.86
Camacha,33.0833,-16.3333,292.83,83,40,6.17
Verkhnevilyuysk,63.4453,120.3167,267.91,99,100,0.12
Rosetta,31.4044,30.4164,295.43,71,0,3.6
Cape Town,-33.9258,18.4232,295.03,67,0,0.51
Sri Aman,1.2376,111.4621,295.97,99,100,0.54
Ushuaia,-54.8,-68.3,281.96,61,75,8.75
Mataura,-46.1927,168.8643,281.29,96,98,3.32
Vaini,-21.2,-175.2,297.24,83,40,8.75
Batagay,67.6333,134.6333,260.78,98,90,1.68
Punta Arenas,-53.15,-70.9167,285.21,43,40,14.4
Norman Wells,65.282,-126.8329,273.17,100,100,14.4
George Town,5.4112,100.3354,300.5,82,20,0.0
Hithadhoo,-0.6,73.0833,300.17,79,96,7.77
Cadereyta,25.5833,-99.9833,298.97,68,79,5.97
Mayo,38.8876,-76.5119,295.12,47,0,5.14
Haines Junction,60.7522,-137.5108,275.66,92,100,1.03
Cayenne,4.9333,-52.3333,302.17,74,20,5.14
Mahajanga,-15.7167,46.3167,296.16,78,0,1.03
Uvat,59.1433,68.8953,282.1,87,100,4.87
Broken Hill,-31.95,141.4333,287.75,38,100,4.48
Sulangan,11.1373,123.7228,301.38,76,95,4.67
Bengkulu,-3.8004,102.2655,298.02,83,100,1.06
Clyde River,70.4692,-68.5914,263.95,86,49,2.69
Codrington,-38.2667,141.9667,282.88,72,97,4.95
Rikitea,-23.1203,-134.9692,295.35,73,0,4.84
Safaga,26.7292,33.9365,300.27,44,0,6.82
Tuktoyaktuk,69.4541,-133.0374,272.42,80,100,10.81
Sitka,57.0531,-135.33,283.05,71,100,2.37
Al Bardīyah,31.7561,25.0865,294.84,64,17,3.09
Barrow,71.2906,-156.7887,267.16,93,0,7.2
Vrútky,49.1133,18.9171,281.53,87,91,2.05
Belle Fourche,44.6714,-103.8522,299.54,29,0,1.41
Hobart,-42.8794,147.3294,281.51,93,40,3.09
Mar del Plata,-38.0023,-57.5575,285.9,74,0,8.94
Yumen,40.2833,97.2,279.28,17,45,1.11
Leningradskiy,69.3833,178.4167,267.03,70,100,9.51
Comodoro Rivadavia,-45.8667,-67.5,294.07,18,0,10.8
Matara,5.9485,80.5353,298.15,89,100,3.37
Sinnamary,5.3833,-52.95,301.74,75,29,5.47
Smithers,54.7804,-127.1743,286.11,42,5,4.47
Saint-Philippe,-21.3585,55.7679,294.92,80,17,3.91
Challapata,-18.9,-66.7667,289.54,5,0,8.94
Kavaratti,10.5669,72.642,300.12,80,100,4.66
Lavrentiya,65.5833,-171.0,269.65,64,3,3.51
Souillac,-20.5167,57.5167,294.23,81,37,4.88
Balaipungut,1.05,101.2833,296.03,98,96,0.29
Carnarvon,-24.8667,113.6333,291.08,64,97,9.61
Wilmington,34.2257,-77.9447,295.9,57,100,3.6
Bulgan,48.8125,103.5347,275.32,60,100,0.91
Jinsha,32.0898,121.0735,284.25,51,100,3.02
Upernavik,72.7868,-56.1549,263.57,68,90,2.05
Imbituba,-28.24,-48.6703,289.18,96,100,1.07
Kargasok,59.0556,80.8572,281.47,81,100,6.58
Yellowknife,62.456,-114.3525,285.13,58,100,5.81
Luwuk,-0.9516,122.7875,298.03,88,100,1.29
Inverell,-29.7833,151.1167,285.74,95,100,1.79
Harper,4.375,-7.7169,298.41,87,85,2.82
Port Hardy,50.6996,-127.4199,285.8,71,91,8.56
Tiksi,71.6872,128.8694,262.93,83,100,6.32
Busselton,-33.65,115.3333,285.14,66,97,4.47
Qandala,11.472,49.8728,300.37,57,62,2.3
Hilo,19.7297,-155.09,303.86,72,40,3.13
Kapoeta,4.7717,33.5903,300.88,41,4,2.1
Mānsa,29.9833,75.3833,294.01,96,23,1.92
Tshikapa,-6.4167,20.8,297.25,62,52,1.86
Nikolskoye,59.7035,30.7861,280.26,87,72,2.9
Saskylakh,71.9167,114.0833,260.84,94,54,4.13
Hong Kong,22.2855,114.1577,296.11,45,3,3.58
Sambava,-14.2667,50.1667,293.88,86,23,4.67
Sedam,17.1773,77.2824,296.02,94,100,2.73
Tlacote el Bajo,20.65,-100.5,295.84,43,99,5.97
Carinhanha,-14.3047,-43.765,308.54,18,74,6.38
Ilulissat,69.2167,-51.1,270.16,63,75,2.57
Manicoré,-5.8092,-61.3003,302.33,55,100,1.33
Port Elizabeth,-33.918,25.5701,292.21,94,100,1.34
Bethel,41.3712,-73.414,292.92,53,100,2.57
Jamestown,42.097,-79.2353,290.38,44,0,5.14
Atuona,-9.8,-139.0333,297.81,68,17,6.64
Laguna,38.421,-121.4238,306.1,36,0,3.09
Thompson,55.7435,-97.8558,293.28,33,77,5.71
Esperance,-33.8667,121.9,282.06,74,99,8.41
Kaitangata,-46.2817,169.8464,282.26,89,98,5.34
Puri,19.8,85.85,299.44,77,98,3.71
Brae,60.3964,-1.353,281.57,64,100,12.46
Camabatela,-8.1881,15.375,291.94,83,22,1.08
Lorengau,-2.0226,147.2712,299.36,70,71,2.55
Lampang,18.3333,99.5,294.44,97,98,0.95
Okakarara,-20.5833,17.4333,294.96,14,5,3.17
Chumikan,54.7183,135.315,272.73,67,57,2.2
Severo-Kuril'sk,50.6789,156.125,281.03,82,100,5.73
Qasigiannguit,68.8193,-51.1922,270.29,90,100,2.5
Lae,-6.7221,146.9847,297.15,86,72,1.92
Moerai,-22.4333,-151.3333,294.42,72,100,10.54
Merauke,-8.4667,140.3333,298.64,89,100,3.47
Sémbé,1.6481,14.5806,293.81,97,100,0.42
Nālūt,30.3333,10.85,299.68,22,75,3.18
Litein,-0.5823,35.1903,286.66,94,100,1.25
Rongcheng,30.634,117.8517,282.85,54,100,1.36
Coquimbo,-29.9533,-71.3436,288.0,72,20,5.66
Los Llanos de Aridane,28.6585,-17.9182,293.01,88,40,5.66
Kozhevnikovo,56.2589,83.9714,279.96,76,100,5.96
Havøysund,70.9963,24.6622,281.28,79,100,6.3
Lazi,48.0667,24.2333,280.63,58,26,1.31
